year,measure_family,source_label,bucket,value_musd,pct_of_year_departmental,source_id,note
2005,deptexp,Police,public_safety,22.68,11.56,books,
2005,deptexp,Fir e,public_safety,10.996,5.61,books,
2005,deptexp,Public Works,infrastructure,67.43,34.37,books,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2005,deptexp,Parks & Re cr e ation,parks_openspace,21.06,10.74,books,
2005,deptexp,Open Space/ Real E state,parks_openspace,20.658,10.53,books,"The 2005 name. Renamed Open Space/Mountain Parks in 2006, and the real-estate functions move elsewhere."
2005,deptexp,Housing/Human Svcs,community_services,12.753,6.5,books,
2005,deptexp,Library,community_services,5.74,2.93,books,
2005,deptexp,Arts,community_services,0.44,0.22,books,
2005,deptexp,Planning & De ve lopm e nt Services,planning_climate,6.233,3.18,books,"Two different things under one name: $6.2M in 2005 for the planning department, $14.2M in 2022 for the development-review enterprise fund. Same bucket, not the same department."
2005,deptexp,General Governm ent,administration,17.284,8.81,books,"The least comparable line in the crosswalk. It likely holds non-departmental items that the 2024-2026 export books to Fundwide / Citywide, so administration and citywide_debt trade content across the series."
2005,deptexp,Administrative Svcs,administration,8.225,4.19,books,
2005,deptexp,De bt,citywide_debt,2.668,1.36,books,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2006,deptexp,Police,public_safety,23.415,11.7,books,
2006,deptexp,Fire,public_safety,11.258,5.63,books,
2006,deptexp,Public Works,infrastructure,66.734,33.35,books,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2006,deptexp,Open Space/ Mountain Parks,parks_openspace,22.188,11.09,books,
2006,deptexp,Parks & Re cr e ation,parks_openspace,20.899,10.44,books,
2006,deptexp,Housing/Human Svcs,community_services,13.339,6.67,books,
2006,deptexp,Library,community_services,5.977,2.99,books,
2006,deptexp,Arts,community_services,0.451,0.23,books,
2006,deptexp,Planning & Development Services,planning_climate,6.465,3.23,books,"Two different things under one name: $6.2M in 2005 for the planning department, $14.2M in 2022 for the development-review enterprise fund. Same bucket, not the same department."
2006,deptexp,General Governm e nt,administration,17.208,8.6,books,"The least comparable line in the crosswalk. It likely holds non-departmental items that the 2024-2026 export books to Fundwide / Citywide, so administration and citywide_debt trade content across the series."
2006,deptexp,Administrative Svcs,administration,9.849,4.92,books,
2006,deptexp,De bt,citywide_debt,2.317,1.16,books,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2011,deptexp,Police,public_safety,29.105,12.6,booksocr,
2011,deptexp,Fire,public_safety,14.983,6.49,booksocr,
2011,deptexp,PW/ Utilities,infrastructure,46.571,20.16,booksocr,
2011,deptexp,PW/ Transportation,infrastructure,20.808,9.01,booksocr,
2011,deptexp,DUHMD/ Prkng Svcs,infrastructure,9.679,4.19,booksocr,Downtown and University Hill Management Division / Parking Services -- mostly parking operations and district management. Renamed Community Vitality from 2016.
2011,deptexp,PW/ DSS,infrastructure,9.069,3.93,booksocr,Public Works - Development and Support Services.
2011,deptexp,Parks & Recreation,parks_openspace,24.86,10.76,booksocr,
2011,deptexp,Open Space/ Mtn Prks,parks_openspace,24.518,10.61,booksocr,
2011,deptexp,Housing/ Human Svcs,community_services,12.964,5.61,booksocr,
2011,deptexp,Library/ Arts,community_services,7.562,3.27,booksocr,
2011,deptexp,Comm Plnng & Sustainability,planning_climate,6.344,2.75,booksocr,
2011,deptexp,Gen Govrnmt,administration,11.951,5.17,booksocr,"The least comparable line in the crosswalk. It likely holds non-departmental items that the 2024-2026 export books to Fundwide / Citywide, so administration and citywide_debt trade content across the series."
2011,deptexp,Admin Svcs,administration,9.925,4.3,booksocr,
2011,deptexp,Debt,citywide_debt,2.691,1.16,booksocr,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2012,deptexp,Police,public_safety,29.593,12.38,booksocr,
2012,deptexp,Fire,public_safety,15.552,6.51,booksocr,
2012,deptexp,Public Works,infrastructure,77.34,32.37,booksocr,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2012,deptexp,DUHMD/Pkg Svcs,infrastructure,8.868,3.71,booksocr,Downtown and University Hill Management Division / Parking Services -- mostly parking operations and district management. Renamed Community Vitality from 2016.
2012,deptexp,Open Space/Mtn Parks,parks_openspace,25.557,10.7,booksocr,
2012,deptexp,Parks and Rec,parks_openspace,24.229,10.14,booksocr,
2012,deptexp,Housing/Human Services,community_services,12.066,5.05,booksocr,
2012,deptexp,Library and Arts,community_services,7.863,3.29,booksocr,
2012,deptexp,Comm Planning and Sust,planning_climate,7.644,3.2,booksocr,
2012,deptexp,Total Gen Gov,administration,13.627,5.7,booksocr,"The least comparable line in the crosswalk. It likely holds non-departmental items that the 2024-2026 export books to Fundwide / Citywide, so administration and citywide_debt trade content across the series."
2012,deptexp,Admin Services,administration,11.845,4.96,booksocr,
2012,deptexp,Debt,citywide_debt,4.776,2.0,booksocr,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2013,deptexp,Police,public_safety,31.747,12.46,booksocr,
2013,deptexp,Fire,public_safety,16.63,6.53,booksocr,
2013,deptexp,Public Works,infrastructure,90.008,35.34,booksocr,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
2013,deptexp,DUHMD/PS,infrastructure,9.095,3.57,booksocr,Downtown and University Hill Management Division / Parking Services -- mostly parking operations and district management. Renamed Community Vitality from 2016.
2013,deptexp,Open Space and Mountain Parks,parks_openspace,25.528,10.02,booksocr,
2013,deptexp,Parks and Recreation,parks_openspace,25.042,9.83,booksocr,
2013,deptexp,Library and Arts,community_services,8.133,3.19,booksocr,
2013,deptexp,Human Services,community_services,6.822,2.68,booksocr,"Human services without housing. 2013-2015 print housing as a slice of its own, also community_services; 2016-2018 fold it into Planning, Housing and Sustainability, in planning_climate. The other years combine the two."
2013,deptexp,Housing,community_services,5.288,2.08,booksocr,"Human services without housing. 2013-2015 print housing as a slice of its own, also community_services; 2016-2018 fold it into Planning, Housing and Sustainability, in planning_climate. The other years combine the two."
2013,deptexp,Community Planning and Sustainability,planning_climate,6.536,2.57,booksocr,
2013,deptexp,ES and EUD,planning_climate,2.203,0.86,booksocr,"Energy Strategy and Electric Utility Development -- the municipalization effort. Bucketed as climate and energy policy rather than as a utility operation, because the city never owned the utility. Printed as ES and EUD in 2013-2015, Energy in 2018 and Energy Strategy in 2019, with no line of its own in 2016-2017."
2013,deptexp,Internal Services,administration,12.666,4.97,booksocr,"The 2018 book defines it as Finance, HR, IT, General Fund capital and other -- mostly administration, but it carries some capital, so this bucket is not purely overhead."
2013,deptexp,General Governance,administration,9.615,3.78,booksocr,
2013,deptexp,Citywide Debt,citywide_debt,5.379,2.11,booksocr,"General Fund debt only. The pie's own note says non-General-Fund debt service sits inside the departments, which is true in 2011 too, so the bucket is consistent -- but it is not all of the city's debt service."
2014,deptexp,Police,public_safety,32.041,11.89,books,
2014,deptexp,Fire,public_safety,17.565,6.52,books,
2014,deptexp,Public Works,infrastructure,98.303,36.48,books,"One undivided slice, and the reason the buckets are this coarse. It holds what later becomes Transportation and Mobility, Utilities and Facilities and Fleet; the books split Public Works three ways in their STAFFING tables but never in the spending pie."
